acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    1.9699999690e-01,   -2.6343233109e+01,   -2.7772523880e+01,   -3.6392551422e+01,   -3.7618160248e+01,
    1.9900000095e-01,   -2.6409082413e+01,   -2.8021802902e+01,   -3.1607341766e+01,   -3.3200855255e+01,
    2.0200000703e-01,   -2.5926078796e+01,   -2.7515279770e+01,   -2.5283035278e+01,   -2.7052747726e+01,
    2.0399999619e-01,   -2.4731718063e+01,   -2.6091959000e+01,   -2.2814788818e+01,   -2.4381975174e+01,
    2.0700000226e-01,   -2.1499311447e+01,   -2.2332454681e+01,   -2.2216789246e+01,   -2.3125144958e+01,
    2.0900000632e-01,   -1.8706628799e+01,   -1.9211235046e+01,   -2.3248785019e+01,   -2.3667165756e+01,
    2.1199999750e-01,   -1.4611447334e+01,   -1.4903674126e+01,   -2.4919372559e+01,   -2.4889598846e+01,
    2.1400000155e-01,   -1.2694952965e+01,   -1.3123351097e+01,   -2.4821737289e+01,   -2.4848886490e+01,
    2.1699999273e-01,   -1.1834972382e+01,   -1.2865734100e+01,   -2.1661624908e+01,   -2.2355279922e+01,
    2.1899999678e-01,   -1.2500422478e+01,   -1.4087809563e+01,   -1.7668136597e+01,   -1.9070377350e+01,
    2.2200000286e-01,   -1.4359000206e+01,   -1.6710714340e+01,   -1.0527773857e+01,   -1.2982269287e+01,
    2.2400000691e-01,   -1.5289281845e+01,   -1.7914922714e+01,   -6.3823738098e+00,   -9.2598571777e+00,
    2.2699999809e-01,   -1.4888780594e+01,   -1.7364847183e+01,   -2.6737871170e+00,   -5.4620075226e+00,
    2.2900000215e-01,   -1.3014225960e+01,   -1.5006381035e+01,   -1.9288057089e+00,   -4.1560015678e+00,
    2.3199999332e-01,   -8.2299346924e+00,   -9.1000471115e+00,   -2.3593671322e+00,   -3.2415478230e+00,
    2.3399999738e-01,   -4.6197400093e+00,   -4.6578235626e+00,   -2.9647212029e+00,   -2.8582031727e+00,
    2.3700000346e-01,   -3.9604058862e-01,    6.1408835649e-01,   -3.5885221958e+00,   -2.2814438343e+00,
    2.3899999261e-01,    8.2893276215e-01,    2.2587668896e+00,   -3.6834614277e+00,   -1.9407005310e+00,
    2.4199999869e-01,    1.6598658264e-01,    1.7038791180e+00,   -3.1360681057e+00,   -1.3949276209e+00,
    2.4400000274e-01,   -1.2715085745e+00,    2.9777349904e-02,   -2.1106185913e+00,   -7.4803763628e-01,
    2.4699999392e-01,   -3.2568936348e+00,   -2.5605144501e+00,    2.1740460396e-01,    7.3431718349e-01,
    2.4899999797e-01,   -3.5897667408e+00,   -3.2922840118e+00,    1.7664839029e+00,    1.7627669573e+00,
    2.5200000405e-01,   -1.9655473232e+00,   -2.0067541599e+00,    3.0182366371e+00,    2.6255381107e+00,
    2.5400000811e-01,    3.0082261562e-01,    2.8927165270e-01,    2.6561791897e+00,    2.3631632328e+00,
    2.5699999928e-01,    4.3408155441e+00,    4.7581543922e+00,    6.7941606045e-02,    4.3752232194e-01,
    2.5900000334e-01,    6.6502218246e+00,    7.5336942673e+00,   -2.6696109772e+00,   -1.6359516382e+00,
    2.6199999452e-01,    8.5653524399e+00,    1.0206124306e+01,   -6.8423328400e+00,   -4.7902073860e+00,
    2.6399999857e-01,    8.6000633240e+00,    1.0648602486e+01,   -8.6375818253e+00,   -6.0812258720e+00,
    2.6699998975e-01,    7.0321087837e+00,    9.3651781082e+00,   -8.6666631699e+00,   -5.8441729546e+00,
    2.6899999380e-01,    5.2329545021e+00,    7.4824852943e+00,   -6.8210358620e+00,   -4.1973242760e+00,
    2.7200001478e-01,    2.0081121922e+00,    3.7447497845e+00,   -2.3085052967e+00,   -4.6049678326e-01,
    2.7399998903e-01,   -1.9968765974e-01,    1.0098826885e+00,    8.0848193169e-01,    1.9493945837e+00,
    2.7700001001e-01,   -3.1005113125e+00,   -2.7678699493e+00,    3.9746620655e+00,    4.0505485535e+00,
    2.7900001407e-01,   -4.4273123741e+00,   -4.6168818474e+00,    4.5311245918e+00,    4.0489654541e+00,
    2.8200000525e-01,   -4.9867825508e+00,   -5.7016839981e+00,    3.0362882614e+00,    2.1259410381e+00,
