acc                                                         
time,z_velocity @ 7661001,z_velocity @ 7661002,z_velocity @ 7661003,z_velocity @ 7661004,
    3.7700000405e-01,    2.1157253265e+01,    2.1238376617e+01,   -7.1676545143e+00,   -7.6178283691e+00,
    3.7900000811e-01,    1.8709692001e+01,    1.9114147186e+01,   -6.5791344643e+00,   -7.3990926743e+00,
    3.8199999928e-01,    1.2848209381e+01,    1.3657562256e+01,   -3.2199058533e+00,   -4.4152798653e+00,
    3.8400000334e-01,    8.6838626862e+00,    9.6313657761e+00,   -2.7299836278e-02,   -1.2908456326e+00,
    3.8699999452e-01,    3.6141257286e+00,    4.5032968521e+00,    4.6795859337e+00,    3.6196725368e+00,
    3.8899999857e-01,    1.7582013607e+00,    2.4338114262e+00,    6.9573006630e+00,    6.2100486755e+00,
    3.9199998975e-01,    2.1768383980e+00,    2.3386387825e+00,    8.1801280975e+00,    8.0563268661e+00,
    3.9399999380e-01,    4.6712307930e+00,    4.4334821701e+00,    7.3655924797e+00,    7.6702561378e+00,
    3.9700001478e-01,    1.0635845184e+01,    9.8631944656e+00,    4.1729907990e+00,    4.9856390953e+00,
    3.9899998903e-01,    1.5021221161e+01,    1.4011636734e+01,    1.3522841930e+00,    2.3486061096e+00,
    4.0200001001e-01,    2.0650323868e+01,    1.9533975601e+01,   -2.5347025394e+00,   -1.5355097055e+00,
    4.0400001407e-01,    2.3489772797e+01,    2.2461845398e+01,   -4.2329244614e+00,   -3.3960568905e+00,
    4.0700000525e-01,    2.6751230240e+01,    2.6025585175e+01,   -4.8295531273e+00,   -4.4039826393e+00,
    4.0900000930e-01,    2.8571344376e+01,    2.8103818893e+01,   -3.8087346554e+00,   -3.7070343494e+00,
    4.1200000048e-01,    3.0962375641e+01,    3.0871431351e+01,   -2.1555285156e-01,   -5.5993682146e-01,
    4.1400000453e-01,    3.2151454926e+01,    3.2259597778e+01,    3.4620532990e+00,    2.9086508751e+00,
    4.1699999571e-01,    3.3057903290e+01,    3.3331554413e+01,    1.0416434288e+01,    9.7591485977e+00,
    4.1899999976e-01,    3.3183353424e+01,    3.3459625244e+01,    1.5500673294e+01,    1.4933675766e+01,
    4.2199999094e-01,    3.3415470123e+01,    3.3529991150e+01,    2.2549379349e+01,    2.2334573746e+01,
    4.2399999499e-01,    3.3979400635e+01,    3.3898963928e+01,    2.6133785248e+01,    2.6250667572e+01,
    4.2699998617e-01,    3.5707130432e+01,    3.5290386200e+01,    2.9154819489e+01,    2.9783271790e+01,
    4.2899999022e-01,    3.7481300354e+01,    3.6872756958e+01,    2.9565603256e+01,    3.0458818436e+01,
    4.3200001121e-01,    4.0572143555e+01,    3.9810890198e+01,    2.8429494858e+01,    2.9502815247e+01,
    4.3399998546e-01,    4.2328407288e+01,    4.1577194214e+01,    2.7144090652e+01,    2.8179407120e+01,
    4.3700000644e-01,    4.3539093018e+01,    4.2948799133e+01,    2.5501012802e+01,    2.6296560287e+01,
    4.3900001049e-01,    4.2953853607e+01,    4.2533149719e+01,    2.5000226974e+01,    2.5570739746e+01,
    4.4200000167e-01,    3.9525573730e+01,    3.9386543274e+01,    2.5244510651e+01,    2.5474821091e+01,
    4.4400000572e-01,    3.5652793884e+01,    3.5682838440e+01,    2.5801679611e+01,    2.5846897125e+01,
    4.4699999690e-01,    2.8422494888e+01,    2.8619516373e+01,    2.6413160324e+01,    2.6295396805e+01,
    4.4900000095e-01,    2.3441982269e+01,    2.3667881012e+01,    2.6225597382e+01,    2.6091743469e+01,
    4.5199999213e-01,    1.6970117569e+01,    1.7099004745e+01,    2.4678373337e+01,    2.4663967133e+01,
    4.5399999619e-01,    1.3734778404e+01,    1.3715649605e+01,    2.2875232697e+01,    2.3023805618e+01,
    4.5699998736e-01,    1.0043871880e+01,    9.7369318008e+00,    1.9487380981e+01,    1.9956205368e+01,
    4.5899999142e-01,    7.3884010315e+00,    6.9015173912e+00,    1.7182590485e+01,    1.7871494293e+01,
    4.6200001240e-01,    1.6219149828e+00,    9.7102040052e-01,    1.4327333450e+01,    1.5276402473e+01,
    4.6399998665e-01,   -3.3819756508e+00,   -4.0529303551e+00,    1.2974296570e+01,    1.4018060684e+01,
    4.6700000763e-01,   -1.1062623978e+01,   -1.1667104721e+01,    1.1415541649e+01,    1.2473601341e+01,
    4.6900001168e-01,   -1.5177988052e+01,   -1.5716372490e+01,    1.0319289207e+01,    1.1318457603e+01,
    4.7200000286e-01,   -1.8924617767e+01,   -1.9385347366e+01,    8.3988666534e+00,    9.2492284775e+00,
    4.7400000691e-01,   -1.9820419312e+01,   -2.0258687973e+01,    7.2028417587e+00,    7.9414730072e+00,
    4.7699999809e-01,   -1.9089046478e+01,   -1.9545232773e+01,    6.0637397766e+00,    6.6594614983e+00,
    4.7900000215e-01,   -1.7215515137e+01,   -1.7718339920e+01,    5.7442750931e+00,    6.2773456573e+00,
    4.8199999332e-01,   -1.2369971275e+01,   -1.2983442307e+01,    5.4960527420e+00,    5.9927034378e+00,
    4.8399999738e-01,   -8.1445913315e+00,   -8.8431959152e+00,    5.2980461121e+00,    5.8069581985e+00,
    4.8699998856e-01,   -2.6087498665e+00,   -3.3906023502e+00,    5.4397788048e+00,    6.0078196526e+00,
    4.8899999261e-01,   -1.3749800920e+00,   -2.1385486126e+00,    6.4238395691e+00,    7.0451374054e+00,
    4.9200001359e-01,   -3.5339789391e+00,   -4.1483774185e+00,    9.5867738724e+00,    1.0278676987e+01,
    4.9399998784e-01,   -5.5343327522e+00,   -6.0101237297e+00,    1.2377156258e+01,    1.3091217041e+01,
    4.9700000882e-01,   -6.5238914490e+00,   -6.7975878716e+00,    1.6323787689e+01,    1.7002410889e+01,
    4.9900001287e-01,   -6.4833092690e+00,   -6.6227440834e+00,    1.8177021027e+01,    1.8770725250e+01,
    5.0199997425e-01,   -7.7608184814e+00,   -7.6780300140e+00,    1.8912130356e+01,    1.9283170700e+01,
    5.0400000811e-01,   -1.0118091583e+01,   -9.8824911118e+00,    1.7502986908e+01,    1.7679218292e+01,
    5.0700002909e-01,   -1.4883585930e+01,   -1.4470098495e+01,    1.2085490227e+01,    1.1958307266e+01,
    5.0900000334e-01,   -1.7577285767e+01,   -1.7116434097e+01,    6.6044149399e+00,    6.3047862053e+00,
    5.1200002432e-01,   -2.0060558319e+01,   -1.9632978439e+01,   -2.9954426289e+00,   -3.4817211628e+00,
    5.1399999857e-01,   -2.1938577652e+01,   -2.1547552109e+01,   -9.3600969315e+00,   -9.9374542236e+00,
    5.1700001955e-01,   -2.7790325165e+01,   -2.7376266479e+01,   -1.7868949890e+01,   -1.8570129395e+01,
    5.1899999380e-01,   -3.3714405060e+01,   -3.3228256226e+01,   -2.2974555969e+01,   -2.3753416061e+01,
    5.2200001478e-01,   -4.2149082184e+01,   -4.1568157196e+01,   -3.0707233429e+01,   -3.1558504105e+01,
    5.2399998903e-01,   -4.4459369659e+01,   -4.3903537750e+01,   -3.6184413910e+01,   -3.7023639679e+01,
    5.2700001001e-01,   -4.0571998596e+01,   -4.0234504700e+01,   -4.3790332794e+01,   -4.4496269226e+01,
    5.2899998426e-01,   -3.3948703766e+01,   -3.3838397980e+01,   -4.6957561493e+01,   -4.7505905151e+01,
    5.3200000525e-01,   -2.1514493942e+01,   -2.1737911224e+01,   -4.6491943359e+01,   -4.6751678467e+01,
    5.3399997950e-01,   -1.3156890869e+01,   -1.3534368515e+01,   -4.2425342560e+01,   -4.2499187469e+01,
    5.3700000048e-01,   -1.7923630476e+00,   -2.2484097481e+00,   -3.2477539062e+01,   -3.2347660065e+01,
    5.3899997473e-01,    3.7349486351e+00,    3.3459534645e+00,   -2.5013961792e+01,   -2.4827804565e+01,
    5.4199999571e-01,    7.3541922569e+00,    7.2412199974e+00,   -1.5111228943e+01,   -1.4984834671e+01,
    5.4400002956e-01,    7.7631487846e+00,    7.9044137001e+00,   -1.0256791115e+01,   -1.0261583328e+01,
    5.4699999094e-01,    9.6888589859e+00,    1.0191495895e+01,   -5.8103771210e+00,   -6.1099519730e+00,
    5.4900002480e-01,    1.3791107178e+01,    1.4461574554e+01,   -4.2055759430e+00,   -4.7310719490e+00,
    5.5199998617e-01,    2.3880519867e+01,    2.4666055679e+01,   -2.7673721313e+00,   -3.6125206947e+00,
    5.5400002003e-01,    3.1498649597e+01,    3.2289188385e+01,   -2.1456329823e+00,   -3.1611802578e+00,
    5.5699998140e-01,    4.0907997131e+01,    4.1654289246e+01,   -1.8894764185e+00,   -3.0696425438e+00,
    5.5900001526e-01,    4.4130352020e+01,    4.4850265503e+01,   -2.4042356014e+00,   -3.6346983910e+00,
    5.6199997663e-01,    4.2801136017e+01,    4.3537212372e+01,   -4.0395197868e+00,   -5.2761106491e+00,
    5.6400001049e-01,    3.7924385071e+01,    3.8719871521e+01,   -5.2724618912e+00,   -6.4827136993e+00,
    5.6699997187e-01,    2.7172777176e+01,    2.8099239349e+01,   -6.6829357147e+00,   -7.8335790634e+00,
    5.6900000572e-01,    1.9858474731e+01,    2.0864381790e+01,   -7.0969347954e+00,   -8.2049493790e+00,
    5.7200002670e-01,    1.1303380013e+01,    1.2363936424e+01,   -6.8575692177e+00,   -7.9027442932e+00,
    5.7400000095e-01,    7.4976820946e+00,    8.5376224518e+00,   -6.1785326004e+00,   -7.1748285294e+00,
    5.7700002193e-01,    3.5089645386e+00,    4.4332828522e+00,   -4.6066131592e+00,   -5.4921760559e+00,
    5.7899999619e-01,    1.1865479946e+00,    1.9826912880e+00,   -3.3124527931e+00,   -4.0807571411e+00,
    5.8200001717e-01,   -2.3160958290e+00,   -1.7816768885e+00,   -1.1195472479e+00,   -1.6257483959e+00,
    5.8399999142e-01,   -4.5142459869e+00,   -4.1915025711e+00,    4.4470685720e-01,    1.6622553766e-01,
    5.8700001240e-01,   -7.2677006721e+00,   -7.2795438766e+00,    2.7914283276e+00,    2.8888921738e+00,
    5.8899998665e-01,   -8.4108800888e+00,   -8.6282024384e+00,    4.1545639038e+00,    4.4829764366e+00,
    5.9200000763e-01,   -8.4122819901e+00,   -8.8741989136e+00,    5.5286970139e+00,    6.1090278625e+00,
